Project,File Path,Line Count
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\AboutViewModel.cs,268
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\ARPTableAddEntryViewModel.cs,49
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\ARPTableViewModel.cs,467
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\AWSProfileViewModel.cs,127
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\AWSSessionManagerConnectViewModel.cs,87
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\AWSSessionManagerHostViewModel.cs,1090
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\AWSSessionManagerSettingsViewModel.cs,325
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\BitCalculatorSettingsViewModel.cs,58
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\BitCalculatorViewModel.cs,255
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\CommandLineViewModel.cs,140
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\ConfirmDeleteViewModel.cs,36
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\ConnectionsViewModel.cs,364
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\CredentialsChangePasswordViewModel.cs,158
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\CredentialsPasswordProfileFileViewModel.cs,134
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\CredentialsPasswordViewModel.cs,85
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\CredentialsSetPasswordViewModel.cs,134
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\CustomCommandViewModel.cs,143
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\DashboardSettingsViewModel.cs,200
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\DashboardViewModel.cs,21
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\DiscoveryProtocolViewModel.cs,394
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\DNSLookupHostViewModel.cs,431
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\DNSLookupSettingsViewModel.cs,374
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\DNSLookupViewModel.cs,462
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\DropdownViewModel.cs,71
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\ExportViewModel.cs,308
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\GroupViewModel.cs,1955
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\IPAddressAndSubnetmaskViewModel.cs,49
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\IPAddressViewModel.cs,33
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ViewModels\IPApiDNSResolverWidgetViewModel.cs,124
