Project,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
SimplCommerce,ThemeApiController,2,8,0,0,8,77,10,0,0,0,4,0
SimplCommerce,UserAddressController,6,10,0,0,9,243,22,0,0,0,12,0
SimplCommerce,UserApiController,2,10,0,0,7,252,36,0,0,0.300000012,7,0
SimplCommerce,WidgetApiController,1,2,0,0,2,22,2,0,0,0,2,0
SimplCommerce,WidgetInstanceApiController,2,4,0,0,4,49,5,0,0,0,4,0
SimplCommerce,WidgetZoneApiController,1,2,0,0,2,22,2,0,0,0,2,0
SimplCommerce,ExternalLoginConfirmationViewModel,0,0,2,0,0,9,0,0,0,-1,0,1
SimplCommerce,ForgotPasswordViewModel,0,0,1,0,0,6,0,0,0,-1,0,1
SimplCommerce,LoginViewModel,0,0,3,0,0,12,0,0,0,-1,0,1
SimplCommerce,RegisterViewModel,0,0,5,0,0,20,0,0,0,-1,0,1
SimplCommerce,ResetPasswordViewModel,0,0,4,0,0,15,0,0,0,-1,0,1
SimplCommerce,SendCodeViewModel,0,0,4,0,0,7,0,0,0,-1,0,1
SimplCommerce,VerifyCodeViewModel,0,0,5,0,0,12,0,0,0,-1,0,1
SimplCommerce,AppSettingVm,0,0,2,0,0,5,0,0,0,-1,0,1
SimplCommerce,BreadcrumbViewModel,0,0,2,0,0,5,0,0,0,-1,0,1
SimplCommerce,CountryForm,0,0,8,0,0,12,0,0,0,-1,0,1
SimplCommerce,CustomerGroupForm,0,0,4,0,0,8,0,0,0,-1,0,1
SimplCommerce,HomeViewModel,0,0,1,0,0,4,0,0,0,-1,1,1
SimplCommerce,MediaViewModel,0,0,2,0,0,5,0,0,0,-1,0,3
SimplCommerce,ProjectDetailsVm,0,0,9,0,0,12,0,0,0,-1,0,1
SimplCommerce,ProjectItemVm,0,0,3,0,0,6,0,0,0,-1,0,1
SimplCommerce,StateOrProvinceForm,0,0,6,0,0,11,0,0,0,-1,0,1
SimplCommerce,ThemeListItem,0,0,4,0,0,7,0,0,0,-1,0,3
SimplCommerce,UserAddressFormViewModel,0,0,16,0,0,22,0,0,0,-1,0,1
SimplCommerce,UserAddressListItem,0,0,13,0,0,16,0,0,0,-1,0,3
SimplCommerce,UserForm,0,0,8,0,0,14,0,0,0,-1,0,1
