Project,Design smell,Namespace,Class,File
SimplCommerce,Rebellious Hierarchy,SimplCommerce.Module.PaymentCoD,ModuleInitializer,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.PaymentCoD\ModuleInitializer.cs
SimplCommerce,Rebellious Hierarchy,SimplCommerce.Module.PaymentPaypalExpress,ModuleInitializer,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.PaymentPaypalExpress\ModuleInitializer.cs
SimplCommerce,Rebellious Hierarchy,SimplCommerce.Module.PaymentStripe,ModuleInitializer,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.PaymentStripe\ModuleInitializer.cs
SimplCommerce,Rebellious Hierarchy,SimplCommerce.Module.StorageAzureBlob,ModuleInitializer,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.StorageAzureBlob\ModuleInitializer.cs
SimplCommerce,Rebellious Hierarchy,SimplCommerce.Module.DinkToPdf,ModuleInitializer,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.DinkToPdf\ModuleInitializer.cs
SimplCommerce,Rebellious Hierarchy,SimplCommerce.Module.WishList,ModuleInitializer,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.WishList\ModuleInitializer.cs
SimplCommerce,Rebellious Hierarchy,SimplCommerce.Module.Comments,ModuleInitializer,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Comments\ModuleInitializer.cs
SimplCommerce,Rebellious Hierarchy,SimplCommerce.Module.PaymentBraintree,ModuleInitializer,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.PaymentBraintree\ModuleInitializer.cs
SimplCommerce,Rebellious Hierarchy,SimplCommerce.Module.PaymentMomo,ModuleInitializer,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.PaymentMomo\ModuleInitializer.cs
SimplCommerce,Rebellious Hierarchy,SimplCommerce.Module.PaymentNganLuong,ModuleInitializer,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.PaymentNganLuong\ModuleInitializer.cs
SimplCommerce,Rebellious Hierarchy,SimplCommerce.Module.PaymentCashfree,ModuleInitializer,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.PaymentCashfree\ModuleInitializer.cs
SimplCommerce,Broken Hierarchy,SimplCommerce.Module.Checkouts.Areas.Checkouts.ViewModels,AddressFormVm,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Checkouts\Areas\Checkouts\ViewModels\AddressFormVm.cs
SimplCommerce,Rebellious Hierarchy,SimplCommerce.Module.Checkouts,ModuleInitializer,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Checkouts\ModuleInitializer.cs
