Project,Design smell,Namespace,Class,File,
SimplCommerce,Unutilized Abstraction,SimplCommerce.Infrastructure.Web,ThemeableViewLocationExpander,DesigniteProjects\SimplCommerce\src\SimplCommerce.Infrastructure\Web\ThemeableViewLocationExpander.cs,
SimplCommerce,Unutilized Abstraction,SimplCommerce.Infrastructure.Web,ViewComponentExtensions,DesigniteProjects\SimplCommerce\src\SimplCommerce.Infrastructure\Web\ViewComponentExtensions.cs,
SimplCommerce,Unnecessary Abstraction,SimplCommerce.Infrastructure.Web.SmartTable,Pagination,DesigniteProjects\SimplCommerce\src\SimplCommerce.Infrastructure\Web\SmartTable\Pagination.cs,
SimplCommerce,Unnecessary Abstraction,SimplCommerce.Infrastructure.Web.SmartTable,Search,DesigniteProjects\SimplCommerce\src\SimplCommerce.Infrastructure\Web\SmartTable\Search.cs,
SimplCommerce,Unutilized Abstraction,SimplCommerce.Infrastructure.Web.SmartTable,SmartTableExtension,DesigniteProjects\SimplCommerce\src\SimplCommerce.Infrastructure\Web\SmartTable\SmartTableExtension.cs,
SimplCommerce,Unnecessary Abstraction,SimplCommerce.Infrastructure.Web.SmartTable,SmartTableParam,DesigniteProjects\SimplCommerce\src\SimplCommerce.Infrastructure\Web\SmartTable\SmartTableParam.cs,
SimplCommerce,Unnecessary Abstraction,SimplCommerce.Infrastructure.Web.SmartTable,SmartTableResult<T>,DesigniteProjects\SimplCommerce\src\SimplCommerce.Infrastructure\Web\SmartTable\SmartTableResult.cs,
SimplCommerce,Unnecessary Abstraction,SimplCommerce.Infrastructure.Web.SmartTable,Sort,DesigniteProjects\SimplCommerce\src\SimplCommerce.Infrastructure\Web\SmartTable\Sort.cs,
SimplCommerce,Unutilized Abstraction,SimplCommerce.Module.Core.Areas.Core.Components,DefaultShippingAddressViewComponent,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\Components\DefaultShippingAddressViewComponent.cs,
SimplCommerce,Unutilized Abstraction,SimplCommerce.Module.Core.Areas.Core.Controllers,AccountController,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\Controllers\AccountController.cs,
SimplCommerce,Unutilized Abstraction,SimplCommerce.Module.Core.Areas.Core.Controllers,AppSettingApiController,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\Controllers\AppSettingApiController.cs,
SimplCommerce,Unutilized Abstraction,SimplCommerce.Module.Core.Areas.Core.Controllers,CommonApiController,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\Controllers\CommonApiController.cs,
SimplCommerce,Feature Envy,SimplCommerce.Module.Core.Areas.Core.Controllers,CommonApiController,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\Controllers\CommonApiController.cs,
SimplCommerce,Unutilized Abstraction,SimplCommerce.Module.Core.Areas.Core.Controllers,CountryApiController,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\Controllers\CountryApiController.cs,
SimplCommerce,Feature Envy,SimplCommerce.Module.Core.Areas.Core.Controllers,CountryApiController,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\Controllers\CountryApiController.cs,
SimplCommerce,Feature Envy,SimplCommerce.Module.Core.Areas.Core.Controllers,CountryApiController,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\Controllers\CountryApiController.cs,
SimplCommerce,Feature Envy,SimplCommerce.Module.Core.Areas.Core.Controllers,CountryApiController,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\Controllers\CountryApiController.cs,
SimplCommerce,Unutilized Abstraction,SimplCommerce.Module.Core.Areas.Core.Controllers,CustomerGroupApiController,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\Controllers\CustomerGroupApiController.cs,
SimplCommerce,Feature Envy,SimplCommerce.Module.Core.Areas.Core.Controllers,CustomerGroupApiController,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\Controllers\CustomerGroupApiController.cs,
SimplCommerce,Feature Envy,SimplCommerce.Module.Core.Areas.Core.Controllers,CustomerGroupApiController,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\Controllers\CustomerGroupApiController.cs,
SimplCommerce,Feature Envy,SimplCommerce.Module.Core.Areas.Core.Controllers,CustomerGroupApiController,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\Controllers\CustomerGroupApiController.cs,
SimplCommerce,Unutilized Abstraction,SimplCommerce.Module.Core.Areas.Core.Controllers,DashboardController,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\Controllers\DashboardController.cs,
SimplCommerce,Unutilized Abstraction,SimplCommerce.Module.Core.Areas.Core.Controllers,DistrictApiController,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\Controllers\DistrictApiController.cs,
SimplCommerce,Unutilized Abstraction,SimplCommerce.Module.Core.Areas.Core.Controllers,EntityApiController,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\Controllers\EntityApiController.cs,
SimplCommerce,Unutilized Abstraction,SimplCommerce.Module.Core.Areas.Core.Controllers,EntityTypeApiController,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\Controllers\EntityTypeApiController.cs,
SimplCommerce,Unutilized Abstraction,SimplCommerce.Module.Core.Areas.Core.Controllers,HomeAdminController,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\Controllers\HomeAdminController.cs,
SimplCommerce,Unutilized Abstraction,SimplCommerce.Module.Core.Areas.Core.Controllers,ManageController,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\Controllers\ManageController.cs,
