Project,Design smell,Namespace,Class,File
SimplCommerce,Broken Modularization,SimplCommerce.Module.Catalog.Areas.Catalog.ViewModels,FilterCategory,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Areas\Catalog\ViewModels\FilterCategory.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Catalog.Areas.Catalog.ViewModels,ProductAttributeVm,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Areas\Catalog\ViewModels\ProductAttributeVm.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Catalog.Areas.Catalog.ViewModels,ProductDetail,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Areas\Catalog\ViewModels\ProductDetail.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Catalog.Areas.Catalog.ViewModels,ProductDetailVariation,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Areas\Catalog\ViewModels\ProductDetailVariation.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Catalog.Areas.Catalog.ViewModels,ProductListItem,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Areas\Catalog\ViewModels\ProductListItem.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Catalog.Areas.Catalog.ViewModels,ProductsByBrand,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Areas\Catalog\ViewModels\ProductsByBrand.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Catalog.Areas.Catalog.ViewModels,ProductsByCategory,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Areas\Catalog\ViewModels\ProductsByCategory.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Catalog.Areas.Catalog.ViewModels,ProductTranslationForm,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Areas\Catalog\ViewModels\ProductTranslationForm.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Catalog.Areas.Catalog.ViewModels,ProductVariationVm,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Areas\Catalog\ViewModels\ProductVariationVm.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Catalog.Models,Brand,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Models\Brand.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Catalog.Models,Category,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Models\Category.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Catalog.Models,ProductAttributeValue,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Models\ProductAttributeValue.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Catalog.Models,ProductCategory,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Models\ProductCategory.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Catalog.Models,ProductLink,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Models\ProductLink.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Catalog.Models,ProductMedia,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Models\ProductMedia.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Catalog.Models,ProductOptionCombination,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Models\ProductOptionCombination.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Catalog.Models,ProductOptionValue,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Models\ProductOptionValue.cs
SimplCommerce,Cyclically-dependent Modularization,SimplCommerce.Module.Catalog.Models,Product,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Models\Product.cs
SimplCommerce,Cyclically-dependent Modularization,SimplCommerce.Module.Catalog.Models,ProductAttribute,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Models\ProductAttribute.cs
SimplCommerce,Cyclically-dependent Modularization,SimplCommerce.Module.Catalog.Models,ProductCategory,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Models\ProductCategory.cs
SimplCommerce,Cyclically-dependent Modularization,SimplCommerce.Module.Catalog.Models,ProductLink,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Models\ProductLink.cs
SimplCommerce,Cyclically-dependent Modularization,SimplCommerce.Module.Catalog.Models,ProductMedia,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Models\ProductMedia.cs
SimplCommerce,Cyclically-dependent Modularization,SimplCommerce.Module.Catalog.Models,ProductOptionCombination,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Models\ProductOptionCombination.cs
SimplCommerce,Cyclically-dependent Modularization,SimplCommerce.Module.Catalog.Models,ProductOptionValue,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Models\ProductOptionValue.cs
SimplCommerce,Cyclically-dependent Modularization,SimplCommerce.Module.Catalog.Models,ProductPriceHistory,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Models\ProductPriceHistory.cs
