File,Smell
DesigniteProjects\Blog.Core\Blog.Core.Api\Filter\GlobalExceptionFilter.cs,"['Unutilized Abstraction', 'Unutilized Abstraction', 'Unnecessary Abstraction', 'Unutilized Abstraction', 'Magic Number']"
DesigniteProjects\Blog.Core\Blog.Core.Api\Filter\GlobalRoutePrefixFilter.cs,['Unutilized Abstraction']
DesigniteProjects\Blog.Core\Blog.Core.Api\Filter\UserRegisterVo.cs,"['Unnecessary Abstraction', 'Unnecessary Abstraction', 'Unutilized Abstraction', 'Magic Number', 'Broken Modularization']"
DesigniteProjects\Blog.Core\Blog.Core.Common\Attribute\CachingAttribute.cs,"['Unnecessary Abstraction', 'Unutilized Abstraction']"
DesigniteProjects\Blog.Core\Blog.Core.Common\Attribute\EnumAttachedAttribute.cs,['Unnecessary Abstraction']
DesigniteProjects\Blog.Core\Blog.Core.Common\Attribute\UseTranAttribute.cs,"['Unnecessary Abstraction', 'Unutilized Abstraction']"
DesigniteProjects\Blog.Core\Blog.Core.Common\DB\AppSecretConfig.cs,"['Unutilized Abstraction', 'Empty Catch Block']"
DesigniteProjects\Blog.Core\Blog.Core.Common\DB\BaseDBConfig.cs,"['Deficient Encapsulation', 'Deficient Encapsulation', 'Empty Catch Block', 'Broken Modularization']"
DesigniteProjects\Blog.Core\Blog.Core.Common\DB\MainDb.cs,"['Unnecessary Abstraction', 'Deficient Encapsulation', 'Deficient Encapsulation']"
DesigniteProjects\Blog.Core\Blog.Core.Common\Extensions\EnumExtensions.cs,"['Unutilized Abstraction', 'Broken Modularization']"
DesigniteProjects\Blog.Core\Blog.Core.Common\Extensions\ExpressionExtensions.cs,['Unutilized Abstraction']
DesigniteProjects\Blog.Core\Blog.Core.Common\Extensions\ExpressionExtensions_Nacos.cs,"['Unutilized Abstraction', 'Long Parameter List', 'Long Parameter List', 'Long Parameter List', 'Long Parameter List']"
DesigniteProjects\Blog.Core\Blog.Core.Common\Extensions\Extention.Expression.cs,"['Unutilized Abstraction', 'Unnecessary Abstraction', 'Long Parameter List', 'Long Parameter List', 'Long Parameter List', 'Long Parameter List', 'Long Parameter List', 'Long Parameter List', 'Long Parameter List', 'Insufficient Modularization']"
DesigniteProjects\Blog.Core\Blog.Core.Common\Extensions\GenericTypeExtensions.cs,"['Unutilized Abstraction', 'Duplicate Abstraction', 'Duplicate Abstraction']"
DesigniteProjects\Blog.Core\Blog.Core.Common\GlobalVar\GlobalVars.cs,"['Unnecessary Abstraction', 'Unnecessary Abstraction', 'Unutilized Abstraction', 'Unnecessary Abstraction', 'Unutilized Abstraction', 'Deficient Encapsulation', 'Deficient Encapsulation', 'Deficient Encapsulation', 'Deficient Encapsulation']"
DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\Appsettings.cs,"['Empty Catch Block', 'Empty Catch Block']"
DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\Base32Helper.cs,"['Unutilized Abstraction', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number']"
DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\Base64Encoder.cs,"['Deficient Encapsulation', 'Deficient Encapsulation', 'Deficient Encapsulation', 'Deficient Encapsulation', 'Complex Method', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number']"
DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\CCBPayUtil.cs,"['Unutilized Abstraction', 'Unutilized Abstraction', 'Unnecessary Abstraction', 'Unnecessary Abstraction', 'Unnecessary Abstraction', 'Unnecessary Abstraction', 'Long Parameter List', 'Long Parameter List', 'Long Parameter List', 'Long Parameter List', 'Long Parameter List', 'Long Statement', 'Long Statement', 'Long Statement', 'Long Statement', 'Long Statement', 'Long Statement', 'Long Statement', 'Long Statement', 'Long Statement', 'Empty Catch Block', 'Empty Catch Block', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number']"
DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\Console\Table\ConsoleTable.cs,"['Unutilized Abstraction', 'Long Statement', 'Long Statement']"
DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\Console\Table\DrawTableInfo.cs,"['Unnecessary Abstraction', 'Unutilized Abstraction', 'Broken Modularization']"
DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\Console\Table\TableExtension.cs,"['Unutilized Abstraction', 'Long Statement', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number']"
DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\DateHelper.cs,"['Unutilized Abstraction', 'Magic Number', 'Magic Number']"
DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\DynamicLinqFactory.cs,"['Unutilized Abstraction', 'Complex Method', 'Complex Method', 'Complex Method', 'Long Statement', 'Magic Number', 'Broken Modularization']"
DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\FileHelper.cs,"['Long Statement', 'Long Statement']"
DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\GenericTypeExtensions.cs,['Unutilized Abstraction']
DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\HtmlHelper.cs,['Unutilized Abstraction']
DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\HttpHelper.cs,"['Magic Number', 'Magic Number']"
DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\IpHelper.cs,"['Unutilized Abstraction', 'Long Statement', 'Empty Catch Block']"
DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\JsonConfigUtils.cs,"['Unutilized Abstraction', 'Broken Modularization']"
DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\JsonHelper.cs,"['Long Method', 'Complex Method', 'Complex Method', 'Complex Method', 'Long Statement', 'Long Statement', 'Complex Conditional', 'Complex Conditional', 'Complex Conditional', 'Complex Conditional', 'Complex Conditional', 'Empty Catch Block', 'Empty Catch Block', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number']"
DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\MD5Hepler.cs,"['Unutilized Abstraction', 'Magic Number', 'Magic Number']"
DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\NumberConverter.cs,"['Unutilized Abstraction', 'Long Statement', 'Long Statement']"
DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\PingYinHelper.cs,['Unutilized Abstraction']
DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\RSAHelper.cs,"['Complex Method', 'Long Statement', 'Long Statement', 'Long Statement', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number']"
DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\RSAHelperExtend.cs,"['Unutilized Abstraction', 'Duplicate Abstraction', 'Long Statement', 'Long Statement', 'Long Statement', 'Long Statement', 'Long Statement', 'Long Statement', 'Long Statement', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number']"
DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\RecursionHelper.cs,"['Unutilized Abstraction', 'Unnecessary Abstraction', 'Unutilized Abstraction', 'Unnecessary Abstraction', 'Long Parameter List', 'Long Statement', 'Broken Modularization', 'Broken Modularization', 'Broken Modularization', 'Broken Modularization', 'Broken Modularization']"
DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\SM\SM4.cs,"['Deficient Encapsulation', 'Complex Method', 'Long Parameter List', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number']"
DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\SM\SM4Helper.cs,"['Unutilized Abstraction', 'Deficient Encapsulation', 'Magic Number', 'Magic Number']"
DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\SM\SM4_Context.cs,"['Deficient Encapsulation', 'Magic Number']"
DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\SerializeHelper.cs,['Unutilized Abstraction']
