Project,File Path,Line Count
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\Drawing\ColorModel.cs,25
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\Drawing\ColorScheme.Colors.cs,176
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\Drawing\ColorScheme.cs,111
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\Drawing\ColorStrings.cs,82
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\Drawing\FillPair.cs,41
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\Drawing\Glyphs.cs,483
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\Drawing\Gradient.cs,255
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\Drawing\GradientFill.cs,42
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\Drawing\IColorNameResolver.cs,34
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\Drawing\ICustomColorFormatter.cs,27
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\Drawing\IFill.cs,14
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\Drawing\IntersectionDefinition.cs,20
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\Drawing\IntersectionRuneType.cs,19
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\Drawing\IntersectionType.cs,28
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\Drawing\LineCanvas.cs,856
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\Drawing\LineStyle.cs,51
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\Drawing\Ruler.cs,58
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\Drawing\SolidFill.cs,24
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\Drawing\StraightLine.cs,201
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\Drawing\StraightLineExtensions.cs,236
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\Drawing\Thickness.cs,293
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\Drawing\W3CColors.cs,24
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\EnumExtensions\AddOrSubtractExtensions.cs,51
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\EnumExtensions\AlignmentExtensions.cs,53
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\EnumExtensions\AlignmentModesExtensions.cs,90
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\EnumExtensions\BorderSettingsExtensions.cs,89
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\EnumExtensions\DimAutoStyleExtensions.cs,89
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\EnumExtensions\DimensionExtensions.cs,51
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\EnumExtensions\DimPercentModeExtensions.cs,51
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\EnumExtensions\KeyBindingScopeExtensions.cs,93
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\EnumExtensions\SideExtensions.cs,53
Terminal.Gui,DesigniteProjects\Terminal.Gui\Terminal.Gui\EnumExtensions\ViewDiagnosticFlagsExtensions.cs,93
