Project,Unutilized Abstraction,Unnecessary Abstraction,Duplicate Abstraction,Feature Envy,Deficient Encapsulation,Wide Hierarchy,Broken Hierarchy,Rebellious Hierarchy,Unfactored Hierarchy,Long Method,Complex Method,Long Parameter List,Long Statement,Empty Catch Block,Magic Number,Missing Default,Complex Conditional,Broken Modularization,Insufficient Modularization,Cyclically-dependent Modularization,Cyclic Hierarchy,Multipath Hierarchy,Long Identifier,Virtual Method Call from Constructor,Hub-like Modularization,Imperative Abstraction,Duplicate Code,Multifaceted Abstraction,Unexploited Encapsulation,Missing Hierarchy
Blog.Core,134,92,17,4,14,2,15,5,1,9,19,27,58,15,67,3,1,53,10,1,0,0,0,0,0,0,0,0,0,0
NETworkManager,9,0,4,0,0,0,0,0,0,0,0,0,7,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SimplCommerce,166,196,8,47,5,3,3,38,0,7,16,34,97,0,42,0,3,97,1,36,1,0,16,0,0,0,4,0,0,0
Terminal.Gui,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
greenshot,26,52,43,17,12,4,5,22,14,34,51,40,105,16,117,25,14,16,15,66,2,7,10,4,1,0,0,0,0,0
